Key,Id,Chinese (Simplified)(zh-Hans),English(en)
case.1001.item.105.name,0,"餐勺","Spoon"
case.1001.item.105.clue,0,"偷出来的餐勺，侧边被打磨出刃口，锋利且危险。","A stolen spoon with one edge ground into a blade. Sharp and dangerous."
case.1002.item.201.name,0,"口袋里的病历","Medical Record in His Pocket"
case.1002.item.201.clue,0,"智齿发炎，按医嘱服用……（后面看不清了）。哈，难怪他的话和我一样少。","Infected wisdom tooth. Take as directed by the doctor… The rest is illegible. Ha, no wonder he talks as little as I do."
case.1002.item.202.name,0,"白色的粉末","White Powder"
case.1002.item.202.clue,0,"吧台上散落的白色粉末，粘在手指上舔了舔，味道很古怪，看来他们没有做盐边玛格丽特。","White powder scattered across the bar. I dabbed some on my finger and tasted it. Strange flavor. It seems they were not making a salt-rimmed margarita."
case.1002.item.203.name,0,"酒杯","Wine Glass"
case.1002.item.203.clue,0,"酒杯里残留着粉红色的液体。伏特加，还有……很浓的果香。","Pink liquid remains in the glass. Vodka, and… a very strong fruit aroma."
case.1002.item.204.name,0,"窗户","Window"
case.1002.item.204.clue,0,"浓雾掩盖了一切，空气里潮湿又黏腻。而我们，被困在了这里，在雾散以前，谁也不会来。这到底是好事还是坏事呢？","The thick fog hides everything, and the air is damp and clammy. We are trapped here. No one will come until the fog lifts. Is that a good thing or a bad thing?"
case.1002.item.205.name,0,"手枪","Pistol"
case.1002.item.205.clue,0,"警察身份的象征。检查过膛线和弹匣，没有使用过的迹象。不过在这种情况下，还是放在大家都能看见的地方为妙。","A symbol of police authority. I checked the rifling and magazine; there is no sign it has been fired. Even so, under the circumstances, it is best to leave it where everyone can see it."
case.1003.item.301.name,0,"鉴定书","Appraisal Certificate"
case.1003.item.301.clue,0,"鉴定结论显示，本件为原作。出自最近借住在伯爵府邸的鉴定家，对画作作者了解甚多。","The appraisal concludes that this piece is an original. It was issued by the appraiser recently staying at the count’s estate, who knows a great deal about the artist."
case.1003.item.302.name,0,"《圣安东尼的诱惑》","The Temptation of Saint Anthony"
case.1003.item.302.clue,0,"16世纪博斯的著名画作，形制为三联可开合祭坛画，分为中联、左翼、右翼，每一联画作均尺寸巨大……嘘，我只是在读鉴定书上的字。","A famous sixteenth-century painting by Bosch. It is a hinged triptych altarpiece divided into a central panel, left wing, and right wing, each enormous in size… Shh, I’m only reading what the appraisal says."
case.1003.item.303.name,0,"公爵一家的全家福","Portrait of the Duke’s Family"
case.1003.item.303.clue,0,"和现在的伯爵府相比少了不少东西，也许伯爵家不像我想象地那么富裕。","Compared with the count’s estate as it is now, quite a few things are missing. Perhaps the family is not as wealthy as I imagined."
case.1003.item.304.name,0,"渔具桶","Fishing-Tackle Bucket"
case.1003.item.304.clue,0,"摆放在门口的渔具桶，和宅邸内的其他陈设有些格格不入。说不定伯爵一家有钓鱼的狂热爱好者。","A bucket of fishing gear by the door, oddly out of place among the estate’s other furnishings. Perhaps someone in the count’s family is an avid angler."
case.1003.item.305.name,0,"小推车","Trolley"
case.1003.item.305.clue,0,"多段手电筒、手持放大镜、小型偏光镜——其他的我都不认识。很有说服力的鉴定工具，以至于它的主人拿了一个小推车来装它们。","A multi-section flashlight, a handheld magnifying glass, a small polarizing lens—and several other things I do not recognize. Such an impressive collection of appraisal tools that their owner needed a trolley to carry them."
case.1001.option.401,0,"恃勇行凶","Brute Force"
case.1001.option.402,0,"只身涉水","Swim for It"
case.1001.option.403,0,"乘风破浪","Ride the Wind and Waves"
case.1002.option.501,0,"饮鸩止渴","Drink Poison to Quench Thirst"
case.1002.option.502,0,"耽酒嗜饮","Drink to Excess"
case.1002.option.503,0,"良药苦口","Bitter Medicine"
case.1003.option.601,0,"杯弓蛇影","Jump at Shadows"
case.1003.option.602,0,"败家卖产","Sell the Family Fortune"
case.1003.option.603,0,"偷梁换柱","Swap the Real for the Fake"
demon.2001.default,0,"我很期待，这一次又要上演什么样的闹剧？","I can’t wait to see what kind of farce you’ll stage this time."
demon.2001.hurt,0,"你这是在火中取栗，亲爱的，你觉得你的好运能持续多久？","You’re playing with fire, darling. How long do you think your luck will last?"
demon.2001.mock,0,"哈，你挣扎的样子真让我感动……","Ha, the way you struggle is truly touching…"
demon.2001.defeat,0,"你会后悔的，你会非常，非常后悔，我保证。","You’ll regret this. You’ll regret it very, very much. I promise."
demon.2002.default,0,"你是对的，咱们是时候找点乐子了。","You’re right. It’s time we had some fun."
demon.2002.hurt,0,"好吧，偶尔给你一个小小的甜头也不算太坏。","Very well. There’s no harm in giving you a tiny reward now and then."
demon.2002.mock,0,"现在认输还来得及，别担心，我喜欢识时务的人。","There’s still time to surrender. Don’t worry—I like people who know when they’re beaten."
demon.2002.defeat,0,"你以为这就结束了吗，不，宝贝，那些梦魇永远不会放过你，它们会像是不安分的骨头，咯吱咯吱响个不停，缠着你、折磨你，永远、永远……","You think it’s over? No, baby. Those nightmares will never leave you. They’ll be like restless bones, creaking without end—haunting you, tormenting you, forever and ever…"
demon.2003.default,0,"粗陋的陈设、蹩脚的配角，我们的主人公要怎么在这样的舞台上大放异彩呢？","Shabby scenery, hopeless supporting players—how is our hero supposed to shine on a stage like this?"
demon.2003.hurt,0,"别高兴得太早了，我们来日方长呢。","Don’t celebrate too soon. We have a long road ahead of us."
demon.2003.mock,0,"别怪我，亲爱的，这都是你自讨苦吃。","Don’t blame me, darling. You brought this suffering on yourself."
demon.2003.defeat,0,"呵呵，你逃不掉的，命运的绳索已经勒住了你的咽喉，一切都是徒劳，我们终究会在地狱里再见……","Heh. You can’t escape. Fate’s rope is already tightening around your throat. All your efforts are in vain. In the end, we’ll meet again in hell…"
demon.opening.01,0,"噢，亲爱的，你不喜欢做梦，我知道的。嘘，嘘，嘘，放心吧，这里什么也没有，没有蒙冤而死的罪人，没有审判庭无休无止的灯光……只有一片黑暗，黑——暗——温暖而湿润，想起来了吗，泥土化开的气息、稻草扎在脸上的触感，答对了，科威特郡的旧谷仓！","Oh, darling, you don’t like dreaming. I know. Shh, shh, shh. Don’t worry, there’s nothing here—no wrongfully condemned prisoners, no endless lights of the tribunal… only darkness. Dark—ness—warm and damp. Do you remember now? The smell of thawing earth, the prick of straw against your face. That’s right: the old barn in Kuwait County!"
demon.opening.02,0,"你已经走得太远了，宝贝，这趟旅途把你累坏了，现在，是时候该回家了。","You’ve come too far, baby. This journey has worn you out. Now it’s time to go home."
demon.opening.03,0,"不，不，不能再等了，我们必须现在就启程，赶在今年的苹果树开花之前……","No, no, we can’t wait any longer. We must leave now, before the apple trees bloom this year…"
demon.opening.04,0,"好吧，请你告诉我，你到底在等什么？等不存在的正义，等不会来的宽恕，还是等……","Then tell me: what exactly are you waiting for? Justice that doesn’t exist? Forgiveness that will never come? Or are you waiting for…"
demon.opening.05,0,"啊哈，大胆的想法，从这一点看来，我们彼此彼此呢。","Aha, what a daring idea. In that respect, you and I are rather alike."
demon.opening.06,0,"不过，你知道的，凡是交易均有代价。五句话——每一次你只能说四句话，四句话以内，如果你甜美的真相没有俯首称臣，你就死了，宝贝。","But you know every bargain has its price. Five statements—each time, you may speak only four. If your sweet truth has not surrendered within those four statements, you die, baby."
demon.opening.07,0,"我得给你个给忠告，这是一条有去无回的险途，而你，亲爱的，是个两手空空的赌徒，必须押上你的全部。灵魂、肉体，呵呵呵呵呵……我会竭尽所能让你惨败。噢，说什么呢，你当然有这些东西。","Let me give you a word of advice. This is a perilous road with no return, and you, darling, are an empty-handed gambler who must stake everything. Soul, flesh—hehehehe… I’ll do everything in my power to make you lose. Oh, what am I saying? Of course you have those things."
demon.opening.08,0,"考虑好了，呵呵，真爽快，请在这里签下你的名字。","Made up your mind? Heh, how decisive. Sign your name here."
debuff.0.name,0,"时间诅咒：发言次数减少","Time Curse: Fewer Statements"
debuff.0.description,0,"我看见你生命的倒计时在减少咯，让我来加速一下吧......","I can see the countdown on your life ticking down. Let me speed it up…"
